time,W,
1657309978,5.447,
1657309979,5.313,
1657309980,5.267,
1657309981,5.527,
1657309982,5.374,
1657309983,5.374,
1657309984,5.374,
1657309985,5.458,
1657309986,5.294,
1657309987,5.29,
1657309988,5.393,
1657309989,5.393,
1657309990,5.298,
1657309991,5.298,
1657309992,5.298,
1657309993,5.29,
1657309994,5.29,
1657309995,5.252,
1657309996,5.294,
1657309997,5.42,
1657309998,5.355,
1657309999,5.355,
1657310000,5.355,
1657310001,5.355,
1657310002,5.355,
1657310003,5.309,
1657310004,5.309,
1657310005,5.386,
1657310006,5.332,
1657310007,5.336,
1657310008,5.336,
1657310009,5.435,
1657310010,5.496,
1657310011,5.496,
1657310012,5.298,
1657310013,5.435,
1657310014,5.431,
1657310015,5.374,
1657310016,5.374,
1657310017,5.428,
1657310018,5.428,
1657310019,5.428,
1657310020,6.0,
1657310021,6.073,
1657310022,5.985,
1657310023,5.859,
1657310024,5.859,
1657310025,5.989,
1657310026,6.084,
1657310027,5.951,
1657310028,5.947,
1657310029,5.351,
1657310030,5.244,
1657310031,5.351,
1657310032,5.351,
1657310033,5.443,
1657310034,5.279,
1657310035,5.279,
1657310036,5.279,
1657310037,5.317,
1657310038,5.393,
1657310039,5.328,
1657310040,5.431,
1657310041,5.386,
1657310042,5.393,
1657310043,5.283,
1657310044,5.401,
1657310045,5.29,
1657310046,5.336,
1657310047,5.435,
1657310048,5.435,
1657310049,5.389,
1657310050,5.233,
1657310051,5.313,
1657310052,5.313,
1657310053,5.16,
1657310054,5.267,
1657310055,5.267,
1657310056,5.458,
1657310057,5.355,
1657310058,5.355,
1657310059,5.34,
1657310060,5.546,
1657310061,5.347,
1657310062,5.363,
1657310063,5.283,
1657310064,5.286,
1657310065,5.286,
1657310066,5.321,
1657310067,5.321,
1657310068,5.5,
1657310069,5.393,
1657310070,5.359,
1657310071,5.359,
1657310072,5.424,
1657310073,5.286,
1657310074,5.283,
1657310075,5.443,
1657310076,5.428,
1657310077,5.729,
1657310078,6.042,
1657310079,6.076,
1657310080,6.076,
1657310081,5.882,
1657310082,5.882,
1657310083,5.882,
1657310084,5.977,
1657310085,6.118,
1657310086,6.149,
1657310087,6.042,
1657310088,5.428,
1657310089,5.321,
1657310090,5.267,
1657310091,5.45,
1657310092,5.42,
1657310093,5.336,
1657310094,5.313,
1657310095,5.279,
1657310096,5.489,
1657310097,5.286,
1657310098,5.134,
1657310099,5.134,
1657310100,5.523,
1657310101,5.374,
1657310102,5.141,
1657310103,5.325,
1657310104,5.336,
1657310105,5.378,
1657310106,5.328,
1657310107,5.332,
1657310108,5.328,
1657310109,5.401,
1657310110,5.267,
1657310111,5.267,
1657310112,5.267,
1657310113,5.431,
1657310114,5.13,
1657310115,5.37,
1657310116,5.298,
1657310117,5.367,
1657310118,5.367,
1657310119,5.275,
1657310120,5.294,
1657310121,5.321,
1657310122,5.263,
1657310123,5.283,
1657310124,5.477,
1657310125,5.42,
1657310126,5.336,
1657310127,5.355,
1657310128,5.382,
1657310129,5.447,
1657310130,5.328,
1657310131,5.431,
1657310132,5.397,
1657310133,5.321,
1657310134,5.256,
1657310135,5.286,
1657310136,5.42,
1657310137,5.775,
1657310138,6.031,
1657310139,5.878,
1657310140,5.897,
1657310141,5.87,
1657310142,6.038,
1657310143,5.916,
1657310144,5.584,
1657310145,6.122,
1657310146,6.008,
1657310147,6.042,
1657310148,5.26,
1657310149,5.363,
1657310150,5.328,
1657310151,5.275,
1657310152,5.458,
1657310153,5.42,
1657310154,5.256,
1657310155,5.294,
1657310156,5.508,
1657310157,5.267,
1657310158,5.412,
1657310159,5.325,
1657310160,5.37,
1657310161,5.37,
1657310162,5.37,
1657310163,5.37,
1657310164,5.454,
1657310165,5.412,
1657310166,5.412,
1657310167,5.412,
1657310168,5.309,
1657310169,5.409,
1657310170,5.351,
1657310171,5.279,
1657310172,5.424,
1657310173,5.26,
1657310174,5.363,
1657310175,5.47,
1657310176,5.431,
1657310177,5.237,
1657310178,5.275,
1657310179,5.328,
1657310180,5.328,
1657310181,5.328,
1657310182,5.328,
1657310183,5.302,
1657310184,5.267,
1657310185,5.164,
1657310186,5.302,
1657310187,5.325,
1657310188,5.294,
1657310189,5.302,
1657310190,5.34,
1657310191,5.412,
1657310192,5.305,
1657310193,5.305,
1657310194,5.279,
1657310195,5.389,
1657310196,5.351,
1657310197,5.271,
1657310198,5.828,
1657310199,6.057,
1657310200,6.065,
1657310201,6.031,
1657310202,6.076,
1657310203,6.027,
1657310204,6.153,
1657310205,6.099,
1657310206,6.027,
1657310207,5.874,
1657310208,5.267,
1657310209,5.321,
1657310210,5.305,
1657310211,5.393,
1657310212,5.26,
1657310213,5.172,
1657310214,5.328,
1657310215,5.328,
1657310216,5.271,
1657310217,5.328,
1657310218,5.34,
1657310219,5.519,
1657310220,5.214,
1657310221,5.462,
1657310222,5.458,
1657310223,5.416,
1657310224,5.363,
1657310225,5.252,
1657310226,5.317,
1657310227,5.317,
1657310228,5.317,
1657310229,5.302,
1657310230,5.397,
1657310231,5.492,
1657310232,5.298,
1657310233,5.447,
1657310234,5.389,
1657310235,5.382,
1657310236,5.263,
1657310237,5.279,
1657310238,5.382,
1657310239,5.466,
1657310240,5.302,
1657310241,5.386,
1657310242,5.374,
1657310243,5.393,
1657310244,5.202,
1657310245,5.347,
1657310246,5.34,
1657310247,5.409,
1657310248,5.256,
1657310249,5.378,
1657310250,5.42,
1657310251,5.305,
1657310252,5.325,
1657310253,5.466,
1657310254,5.321,
1657310255,5.424,
1657310256,5.199,
1657310257,5.729,
1657310258,5.729,
1657310259,5.729,
1657310260,5.729,
1657310261,5.729,
1657310262,5.58,
1657310263,5.58,
1657310264,5.958,
1657310265,6.099,
1657310266,6.057,
1657310267,5.989,
1657310268,5.458,
1657310269,5.309,
1657310270,5.267,
1657310271,5.309,
1657310272,5.42,
1657310273,5.225,
1657310274,5.431,
1657310275,5.37,
1657310276,5.332,
1657310277,5.34,
1657310278,5.462,
1657310279,5.462,
1657310280,5.279,
1657310281,5.328,
1657310282,5.328,
1657310283,5.328,
1657310284,5.275,
1657310285,5.439,
1657310286,5.412,
1657310287,5.355,
1657310288,5.424,
1657310289,5.283,
1657310290,5.374,
1657310291,5.294,
1657310292,5.401,
1657310293,5.424,
1657310294,5.252,
1657310295,5.47,
1657310296,5.374,
1657310297,5.263,
1657310298,5.34,
1657310299,5.473,
1657310300,5.565,
1657310301,5.328,
1657310302,5.332,
1657310303,5.485,
1657310304,5.393,
1657310305,5.393,
1657310306,5.393,
1657310307,5.405,
1657310308,5.473,
1657310309,5.332,
1657310310,5.492,
1657310311,5.332,
1657310312,5.443,
1657310313,5.241,
1657310314,5.466,
1657310315,5.416,
1657310316,5.363,
1657310317,5.878,
1657310318,6.031,
1657310319,6.042,
1657310320,5.97,
1657310321,6.034,
1657310322,5.966,
1657310323,6.015,
1657310324,6.015,
1657310325,6.015,
1657310326,5.939,
1657310327,6.061,
1657310328,5.305,
1657310329,5.298,
1657310330,5.332,
1657310331,5.302,
1657310332,5.47,
1657310333,5.29,
1657310334,5.202,
1657310335,5.336,
1657310336,5.336,
1657310337,5.424,
1657310338,5.317,
1657310339,5.42,
1657310340,5.473,
1657310341,5.298,
1657310342,5.298,
1657310343,5.378,
1657310344,5.313,
1657310345,5.416,
1657310346,5.206,
1657310347,5.363,
1657310348,5.321,
1657310349,5.347,
1657310350,5.229,
1657310351,5.298,
1657310352,5.336,
1657310353,5.347,
1657310354,5.263,
1657310355,5.309,
1657310356,5.294,
1657310358,5.325,
1657310359,5.351,
1657310360,5.412,
1657310361,5.279,
1657310362,5.359,
1657310363,5.286,
1657310364,5.355,
1657310365,5.321,
1657310366,5.309,
1657310367,5.275,
1657310368,5.302,
1657310369,5.279,
1657310370,5.492,
1657310371,5.275,
1657310372,5.164,
1657310373,5.378,
1657310374,5.378,
1657310375,5.351,
1657310376,5.401,
1657310377,5.344,
1657310378,5.649,
1657310379,6.046,
1657310380,5.977,
1657310381,5.977,
1657310382,6.004,
1657310383,5.989,
1657310384,5.924,
1657310385,6.05,
1657310386,5.931,
1657310387,6.034,
1657310388,5.996,
1657310389,5.867,
1657310390,5.309,
1657310391,5.428,
1657310392,5.286,
1657310393,5.317,
1657310394,5.305,
1657310395,5.325,
1657310396,5.34,
1657310397,5.271,
1657310398,5.302,
1657310399,5.347,
1657310400,5.332,
1657310401,5.374,
1657310402,5.412,
1657310403,5.443,
1657310404,5.443,
1657310405,5.443,
1657310406,5.443,
1657310407,5.321,
1657310408,5.302,
1657310409,5.305,
1657310410,5.386,
1657310411,5.309,
1657310412,5.279,
1657310413,5.363,
1657310414,5.409,
1657310415,5.45,
1657310416,5.351,
1657310417,5.275,
1657310418,5.47,
1657310419,5.325,
1657310420,5.302,
1657310421,5.302,
1657310422,5.294,
1657310423,5.447,
1657310424,5.134,
1657310425,5.187,
1657310426,5.462,
1657310427,5.344,
1657310428,5.34,
1657310429,5.412,
1657310430,5.485,
1657310431,5.378,
1657310432,5.302,
1657310433,5.424,
1657310434,5.424,
1657310435,5.424,
1657310436,5.267,
1657310437,5.416,
1657310438,5.84,
1657310439,5.928,
1657310440,6.103,
1657310441,5.931,
1657310442,6.015,
1657310443,5.97,
1657310444,5.912,
1657310445,5.985,
1657310446,6.099,
1657310447,6.099,
1657310448,5.893,
1657310449,6.042,
1657310450,5.416,
1657310451,5.344,
1657310452,5.344,
1657310453,5.328,
1657310454,5.328,
1657310455,5.431,
1657310456,5.412,
1657310457,5.309,
1657310458,5.428,
1657310459,5.42,
1657310460,5.271,
1657310461,5.485,
1657310462,5.485,
1657310463,5.34,
