time,W,
1657325715,4.79,
1657325716,4.836,
1657325717,4.79,
1657325718,4.653,
1657325719,4.962,
1657325720,4.752,
1657325721,4.977,
1657325722,4.702,
1657325723,4.702,
1657325724,4.775,
1657325725,4.97,
1657325726,4.676,
1657325727,5.004,
1657325728,4.912,
1657325729,4.863,
1657325730,4.691,
1657325731,5.019,
1657325732,4.676,
1657325733,5.034,
1657325734,4.63,
1657325735,5.027,
1657325736,4.729,
1657325737,4.729,
1657325738,5.172,
1657325739,5.565,
1657325740,5.496,
1657325741,5.741,
1657325742,5.687,
1657325743,5.569,
1657325744,5.763,
1657325745,5.347,
1657325746,5.576,
1657325747,5.79,
1657325748,5.638,
1657325749,5.832,
1657325750,4.744,
1657325751,4.828,
1657325752,4.943,
1657325753,4.741,
1657325754,5.015,
1657325755,4.641,
1657325756,4.977,
1657325757,4.576,
1657325758,4.95,
1657325759,4.786,
1657325760,4.985,
1657325761,4.718,
1657325762,4.733,
1657325763,4.939,
1657325764,4.496,
1657325765,5.076,
1657325766,4.5,
1657325767,4.905,
1657325768,4.832,
1657325769,4.958,
1657325770,4.76,
1657325771,4.897,
1657325772,4.821,
1657325773,4.867,
1657325774,4.832,
1657325775,4.756,
1657325776,4.889,
1657325777,4.973,
1657325778,4.744,
1657325779,4.996,
1657325780,4.519,
1657325781,5.0,
1657325782,4.645,
1657325783,4.981,
1657325784,4.699,
1657325785,4.699,
1657325786,4.973,
1657325787,4.737,
1657325788,4.905,
1657325789,4.817,
1657325790,4.855,
1657325791,4.966,
1657325792,4.966,
1657325793,4.817,
1657325794,4.775,
1657325795,5.065,
1657325796,4.752,
1657325797,4.763,
1657325798,5.042,
1657325799,5.042,
1657325800,5.721,
1657325801,5.912,
1657325802,5.783,
1657325803,5.733,
1657325804,5.805,
1657325805,5.748,
1657325806,5.638,
1657325807,5.847,
1657325808,5.882,
1657325809,5.462,
1657325810,5.031,
1657325811,4.763,
1657325812,4.905,
1657325813,4.71,
1657325814,4.924,
1657325815,4.924,
1657325816,4.924,
1657325817,4.981,
1657325818,4.973,
1657325819,4.973,
1657325820,4.874,
1657325821,4.912,
1657325822,4.981,
1657325823,4.905,
1657325824,4.767,
1657325825,4.935,
1657325826,4.809,
1657325827,4.908,
1657325828,4.771,
1657325829,4.744,
1657325830,4.798,
1657325831,4.752,
1657325832,4.752,
1657325833,4.748,
1657325834,4.958,
1657325835,4.599,
1657325836,4.599,
1657325837,4.653,
1657325838,4.901,
1657325839,4.832,
1657325840,4.916,
1657325841,4.775,
1657325842,5.004,
1657325843,4.935,
1657325844,4.748,
1657325845,4.977,
1657325846,4.592,
1657325847,5.126,
1657325848,4.752,
1657325849,4.912,
1657325850,4.855,
1657325851,4.771,
1657325852,4.889,
1657325853,4.794,
1657325854,4.809,
1657325855,4.756,
1657325856,4.756,
1657325857,4.756,
1657325858,5.034,
1657325859,5.492,
1657325860,5.744,
1657325861,5.867,
1657325862,5.622,
1657325863,5.84,
1657325864,5.721,
1657325865,5.836,
1657325866,5.802,
1657325867,5.802,
1657325868,5.763,
1657325869,5.756,
1657325870,4.779,
1657325871,4.958,
1657325872,4.809,
1657325873,4.878,
